"school_name","n_passed_either","n_students","pct_passed_either"
"Alamo",50,60,0.833
"Brownsville",48,69,0.696
"Carver",52,73,0.712
"Donna",49,54,0.907
"Eastside",25,57,0.439
"Edinburg",43,66,0.652
"Frontier",77,80,0.963
"McAllen",84,90,0.933
"Mission",59,89,0.663
"Monterrey Park",30,76,0.395
"Montopolis",62,80,0.775
"North Mission",64,90,0.711
"Pharr",79,81,0.975
"Quest",68,82,0.829
"Riverview",102,111,0.919
"Rundberg",72,80,0.9
"San Benito",35,76,0.461
"San Juan CP",73,95,0.768
"South Flores",50,74,0.676
"Toros",27,42,0.643
"Walzem",24,55,0.436
"Weslaco",61,89,0.685
"Weslaco Pike",48,69,0.696
