"school_name","school_street","school_city","school_state","school_zip_code"
"Alamo","325 E FM 495","Alamo","TX",78516
"Bluff Springs","1700 E. Slaughter Lane","Austin","TX",78744
"Brackenridge","5555 Old Pearsall Rd","San Antonio","TX",78242
"Bridge","1500 N Airway Drive","Baton Rouge","LA",70815
"Brownsville","4395 Paredes Line Rd","Brownsville","TX",78526
"Carver","217 Robinson Pl","San Antonio","TX",78202
"Donna","401 S 1st St","Donna","TX",78537
"Eastside","2519 Martin Luther King Dr","San Antonio","TX",78203
"Edgemere","15101 Edgemere Blvd","El Paso","TX",79938
"Edinburg","2553 N Roegiers Rd","Edinburg","TX",78541
"Elsa","411 S Fannin","Elsa","TX",78543
"Ewing Halsell","2523 W Ansley Blvd","San Antonio","TX",78224
"Frontier","2800 S Dakota Ave","Brownsville","TX",78521
"Ingram Hills","3115 Majestic Dr","San Antonio","TX",78228
"Judson","13427 Judson Rd.","San Antonio","TX",78233
"Kyle","640 Philomena Dr","Kyle","TX",78640
"Mays","1210 Horal Rd.","San Antonio","TX",78245
"McAllen","201 N Bentsen Rd","McAllen","TX",78501
"Mission","1600 S Schuerbach Rd","Mission","TX",78572
"Monterrey Park","222 SW 39th St.","San Antonio","TX",78237
"Montopolis","1701 Vargas Rd.","Austin","TX",78741
"Najim","926 S WW WHITE RD","San Antonio","TX",78220
"North Mission","2706 N. Holland Ave.","Mission","TX",78572
"Owassa","1000 E Owassa Rd","Pharr","TX",78577
"Pflugerville","1901 E Wells Branch Pkwy","Pflugerville","TX",78660
"Pharr","600 E Las Milpas Rd","Pharr","TX",78577
"Quest","14001 N Rooth Rd","Edinburg","TX",78541
"Rio Grande City","2803 W MONARCH LN","Rio Grande City","TX",78582
"Rio Vista","210 N Rio Vista Rd","Socorro","TX",79927
"Riverview","30 PALM BLVD","Brownsville","TX",78520
"Rundberg","9504 North Interstate 35 Frontage Rd","Austin","TX",78753
"San Benito","2151 Russell Lane","San Benito","TX",78586
"San Juan CP","600 E Sioux Rd","San Juan","TX",78589
"South Flores","6919 S. Flores ST","San Antonio","TX",78221
"Sports Park","6650 Old Alice Rd.","Brownsville","TX",78526
"Toros","3300 E Texas Rd","Edinburg","TX",78542
"Tres Lagos","5200 Tres Lagos Boulevard","Mcallen","TX",78504
"Walzem","6445 Walzem Rd.","San Antonio","TX",78239
"Weslaco","2931 E. Sugar Cane Dr","Weslaco","TX",78599
"Weslaco Pike","1000 E. Pike Blvd.","Weslaco","TX",78596
